500 438
73 77 40
64 62 24
85 72 38
99 83 47
92 77 36
77 65 23
100 87 52
91 77 42
78 58 23
80 56 18
121 95 58
148 126 89
124 108 75
156 143 111
154 143 111
84 74 39
62 51 19
69 58 26
58 47 17
58 51 22
93 89 62
84 84 56
107 103 74
81 76 44
58 49 18
49 38 6
119 106 72
108 95 61
89 79 44
120 110 74
85 76 37
76 67 24
89 81 35
91 84 38
80 73 31
98 98 60
114 121 90
136 149 121
118 127 98
104 111 80
76 82 48
83 85 48
55 55 19
64 60 22
72 68 23
85 78 32
89 78 33
85 77 31
90 83 41
88 85 44
89 86 53
91 92 61
116 118 96
64 61 42
77 60 44
105 84 65
76 59 33
47 34 0
172 164 128
229 223 187
203 196 168
214 207 181
217 205 179
230 218 192
225 213 187
246 234 208
171 160 132
98 87 55
65 56 17
46 37 0
80 71 30
92 83 44
47 37 2
84 73 43
97 87 62
73 65 42
75 69 45
61 59 34
75 75 49
82 85 58
79 82 53
82 85 56
105 104 76
242 241 213
201 200 172
86 85 57
35 34 6
54 50 23
51 45 23
35 24 6
36 18 8
34 14 7
36 11 4
36 11 4
31 8 2
29 6 0
32 12 5
26 6 0
26 6 0
30 10 3
25 6 0
27 8 2
24 5 0
30 11 5
42 22 15
49 29 22
37 17 10
33 13 6
33 14 10
22 3 0
38 18 7
63 44 27
86 69 41
64 49 16
41 30 0
44 38 6
66 60 28
55 48 19
45 33 7
41 26 3
38 19 2
47 29 9
53 35 15
54 36 14
42 26 1
40 24 0
45 27 3
42 26 3
42 27 8
37 25 9
18 6 0
28 19 2
57 45 23
40 28 2
34 20 0
44 30 4
39 21 1
40 22 2
41 22 5
42 23 6
45 26 9
42 24 4
43 25 5
55 37 15
46 29 11
44 27 7
53 35 15
33 17 0
122 106 80
195 181 152
172 161 129
192 181 149
177 166 136
68 57 27
64 50 23
80 66 39
63 48 19
50 36 7
35 21 0
52 43 14
95 91 56
72 68 31
70 57 23
65 50 21
64 43 22
51 30 11
40 22 2
40 22 0
40 24 0
45 29 4
45 29 4
41 25 0
44 28 5
