500 367
186 137 94
184 137 93
186 137 94
187 136 93
186 135 92
185 132 90
184 129 88
183 128 87
183 130 88
184 131 89
185 132 90
187 134 92
187 134 94
188 137 94
189 138 93
190 139 94
191 140 95
190 139 94
188 137 92
188 137 92
189 138 93
189 138 93
193 142 97
188 141 95
184 137 91
186 138 92
187 140 94
189 142 96
188 140 94
188 137 92
192 141 96
192 144 98
195 144 99
196 145 100
195 144 99
193 145 99
195 144 99
195 144 99
194 143 98
195 144 99
192 144 98
193 145 99
192 144 98
192 144 98
193 145 99
191 143 97
194 143 98
191 144 98
192 144 98
192 144 96
195 144 97
195 144 97
195 144 97
195 144 97
195 144 97
196 144 96
195 144 97
195 144 97
195 144 97
196 145 98
196 144 97
192 144 96
190 144 95
189 143 94
187 139 91
187 139 91
191 140 93
190 139 92
191 139 92
193 142 95
193 142 95
195 144 97
196 145 98
195 144 97
192 141 94
190 139 92
189 141 93
191 140 93
190 139 92
190 139 92
190 139 92
191 140 93
190 138 91
188 135 91
187 134 90
186 133 89
187 134 90
185 133 86
185 133 85
186 134 87
187 135 87
188 136 89
188 136 89
188 136 88
187 134 90
187 134 90
187 134 90
186 133 89
187 134 90
187 134 90
188 135 91
190 137 93
189 136 92
188 135 91
188 136 89
189 137 90
193 141 94
192 140 93
193 141 94
193 141 94
193 141 94
196 144 97
195 143 96
193 141 94
191 140 93
191 140 93
194 143 96
195 144 97
195 144 97
198 147 100
192 141 94
193 142 95
193 142 95
194 143 96
196 145 98
195 144 97
195 144 97
194 143 96
194 143 96
199 148 101
197 146 99
195 144 97
195 144 97
195 144 97
195 144 97
195 144 97
195 144 97
194 143 96
194 143 96
191 140 93
190 139 92
191 140 93
193 142 95
194 144 95
195 143 96
196 143 99
196 144 96
191 139 89
192 141 88
194 142 94
196 144 94
199 147 99
196 144 94
195 143 93
197 145 95
198 146 96
199 147 97
197 145 95
195 143 93
196 144 94
195 143 93
196 144 94
197 145 95
197 145 95
200 144 95
199 146 96
196 144 94
197 145 95
193 141 91
192 140 90
196 144 94
199 146 96
203 150 100
203 150 100
201 149 99
202 149 99
200 147 97
197 144 94
196 143 93
195 142 92
196 144 94
196 144 94
196 144 94
197 145 95
195 144 91
195 143 93
198 146 96
200 148 98
197 145 95
195 143 93
197 145 95
198 146 96
199 147 97
200 148 98
200 148 98
199 147 97
198 146 96
200 148 98
201 149 99
202 150 100
202 150 100
203 151 101
202 150 100
202 150 100
202 150 100
201 149 99
198 148 97
198 148 97
198 148 97
198 148 97
198 148 97
196 146 95
196 146 95
199 149 98
198 148 97
198 148 97
198 148 97
196 145 98
195 144 99
198 147 100
197 146 99
193 145 97
193 147 98
193 145 97
193 145 97
193 145 97
191 145 96
191 143 95
190 142 94
191 143 95
190 142 94
190 142 94
190 142 94
192 141 94
193 142 95
192 141 94
193 139 93
192 140 93
193 141 94
193 141 94
192 140 93
190 138 91
190 136 90
191 139 92
190 139 92
190 139 92
189 138 91
189 138 91
190 139 92
189 138 91
189 138 93
189 138 93
189 138 93
189 138 93
188 137 90
187 136 89
188 137 90
190 139 92
193 142 95
194 143 96
192 141 94
192 141 94
193 142 95
192 141 94
191 140 93
191 140 93
191 140 93
191 140 93
191 140 93
190 139 92
192 140 93
189 141 93
189 141 93
188 142 93
191 143 95
189 141 93
188 140 92
191 143 97
194 146 100
191 143 97
191 143 97
191 143 97
192 144 98
189 141 95
186 138 92
184 136 90
184 136 96
187 140 96
186 142 97
188 144 99
188 144 99
189 145 100
187 142 100
185 141 96
186 142 93
190 146 101
193 149 102
195 147 101
194 146 100
192 144 98
192 144 98
194 146 100
194 146 100
196 145 98
197 146 99
200 149 102
200 148 101
198 147 100
197 147 98
196 146 95
194 144 93
192 142 91
194 144 93
192 139 89
190 138 88
192 140 90
194 142 92
196 144 94
195 143 93
191 139 89
194 142 94
194 142 92
195 144 91
196 146 97
192 141 94
191 140 93
192 140 92
191 141 92
188 142 93
191 140 93
192 140 93
191 140 93
192 141 94
191 140 93
192 141 94
192 141 94
192 141 94
191 140 93
191 140 93
189 138 91
187 136 89
187 136 89
187 136 89
186 135 88
186 135 88
186 135 88
186 135 88
186 135 88
185 134 87
186 135 88
185 134 87
182 131 84
185 134 89
186 135 90
187 136 91
188 137 92
186 135 92
186 135 90
189 138 93
189 138 93
188 137 92
188 137 90
186 135 88
187 136 89
189 137 97
189 138 95
189 137 98
187 138 95
188 139 96
187 136 93
187 136 93
185 134 91
183 130 88
183 128 87
182 129 87
182 129 87
183 130 88
185 132 90
187 134 92
188 135 95
189 136 94
189 138 91
189 138 93
189 138 93
190 139 94
191 140 95
193 142 97
194 143 98
194 143 98
195 144 99
190 142 96
188 140 94
188 140 94
188 140 94
187 139 93
187 139 93
189 138 93
192 141 96
194 143 98
195 144 99
196 145 100
193 142 97
193 142 97
193 142 97
193 142 97
193 142 97
193 142 97
191 143 97
191 143 97
190 142 96
190 142 96
191 143 97
195 144 99
196 145 100
192 145 99
191 145 96
192 144 96
194 143 96
195 143 96
196 145 98
194 143 96
194 143 96
193 142 95
194 143 96
194 143 96
195 144 97
197 146 99
195 144 97
192 144 96
190 144 95
189 143 94
188 140 92
187 139 91
190 139 92
190 139 92
190 138 91
191 140 93
193 142 95
195 144 97
195 144 97
193 142 95
193 142 95
191 140 93
189 138 91
193 142 95
192 141 94
191 140 93
191 140 93
191 140 93
190 138 91
188 137 92
189 136 92
187 134 90
187 134 90
187 134 90
187 135 87
187 135 88
189 137 89
188 136 89
188 136 89
188 136 89
188 135 91
188 135 91
188 135 91
187 134 90
185 132 88
184 131 87
185 132 88
186 133 89
186 133 89
185 132 88
185 133 86
185 133 86
187 135 88
188 136 89
188 136 89
187 135 88
187 135 88
190 138 91
190 138 91
190 138 91
186 135 88
184 133 86
185 134 87
186 135 88
187 136 89
189 138 91
189 138 91
190 139 92
191 140 93
192 141 94
193 142 95
192 141 94
190 139 92
189 138 91
190 139 92
194 143 96
194 143 96
194 143 96
195 144 97
194 143 96
194 143 96
194 143 96
194 143 96
194 143 96
193 142 95
191 140 93
190 139 92
191 140 93
193 142 95
193 143 94
195 143 96
195 142 98
193 141 94
191 139 89
189 138 85
191 139 89
192 140 90
193 141 91
191 139 89
191 139 89
191 139 89
192 140 90
194 142 92
193 141 91
192 140 90
192 140 90
192 140 90
192 140 90
190 138 88
189 137 87
189 136 86
191 138 88
191 139 89
194 142 92
190 138 88
188 136 86
191 139 89
191 139 89
194 141 91
194 141 91
193 140 90
194 141 91
194 141 91
194 141 91
192 139 89
189 136 86
187 135 85
189 137 87
190 138 88
189 137 87
190 138 88
190 138 88
193 141 91
194 142 92
193 141 91
193 141 91
193 141 93
192 141 88
193 141 91
192 140 90
192 140 90
191 139 89
191 139 89
192 140 90
194 142 92
194 142 92
193 141 91
193 141 91
193 141 91
192 140 90
193 141 91
193 141 91
192 142 91
191 141 90
192 142 91
192 142 91
191 141 90
195 145 94
196 146 95
195 145 94
195 145 94
197 147 96
198 148 97
198 147 100
199 148 101
199 148 101
198 147 100
195 147 99
195 147 99
194 146 98
194 146 98
193 145 97
193 145 97
191 143 95
193 145 97
192 144 96
192 144 96
192 144 96
194 143 96
193 141 94
193 142 95
192 141 94
192 140 93
193 141 94
193 141 94
193 141 94
191 139 92
191 139 92
190 138 91
190 139 92
189 138 91
188 137 90
189 138 91
189 138 91
190 139 92
190 139 92
191 140 95
191 140 95
190 139 94
191 140 95
192 141 94
191 140 93
193 142 95
193 142 95
194 143 96
194 143 96
194 143 96
194 143 96
194 143 96
194 143 96
193 142 95
191 140 93
190 139 92
191 140 93
192 140 93
192 140 93
194 140 94
191 143 95
191 143 95
189 143 94
191 143 94
189 143 94
189 141 93
191 143 97
194 146 100
192 144 98
191 143 97
193 145 99
194 146 100
194 146 100
193 145 99
190 143 97
189 142 98
189 142 96
190 146 101
191 147 102
193 149 102
192 148 103
192 148 103
191 147 100
191 147 100
191 147 100
193 149 102
200 152 106
199 151 105
198 150 104
198 150 104
200 152 106
199 150 107
194 146 98
197 149 101
198 150 102
197 149 101
198 147 100
198 148 99
196 149 97
198 148 97
198 148 97
200 148 98
198 146 96
196 146 95
198 146 96
199 147 97
200 148 98
198 146 96
196 144 94
197 145 97
197 145 95
197 147 94
198 148 99
195 144 97
194 143 98
193 142 95
191 143 95
191 143 95
193 142 95
194 142 95
193 142 95
194 143 96
193 142 95
194 143 96
193 142 95
192 141 94
192 141 94
192 141 94
191 140 93
191 140 93
192 141 94
192 141 94
190 139 92
191 140 93
191 140 93
192 141 94
191 140 93
190 139 92
191 140 93
189 138 91
188 137 90
187 136 89
187 136 89
186 135 88
189 138 91
186 135 90
186 135 92
189 138 93
190 139 94
190 139 94
190 139 92
190 139 92
190 139 92
189 137 97
188 136 97
187 135 96
188 139 96
192 141 98
187 136 93
186 135 92
187 134 92
180 127 85
180 125 84
181 126 85
182 129 87
184 131 89
186 133 91
189 136 94
189 136 94
189 138 95
189 138 93
190 139 94
189 138 93
190 139 94
189 138 93
188 137 92
188 137 92
188 137 92
189 138 93
190 139 94
191 140 95
189 138 93
189 138 93
189 138 93
189 138 93
190 139 94
192 141 96
194 143 98
195 144 99
196 145 100
193 142 97
192 141 96
192 141 96
192 141 96
192 141 96
192 141 96
192 144 98
191 143 97
192 144 98
190 142 96
191 143 97
194 146 100
197 146 101
192 145 99
191 144 98
191 143 95
193 142 95
194 142 95
194 143 96
194 143 96
194 143 96
194 143 96
195 143 96
192 141 94
193 142 95
194 143 96
193 142 95
190 142 94
190 142 94
189 143 94
188 140 92
188 140 92
190 139 92
190 139 92
190 138 91
190 139 92
192 141 94
194 143 96
194 143 96
193 142 95
191 140 93
192 141 94
190 139 92
196 145 98
195 144 97
193 142 95
191 140 93
190 139 92
190 138 91
190 137 93
191 138 94
189 136 92
189 136 92
188 135 91
187 135 88
187 135 88
187 135 87
188 136 89
189 137 90
188 136 89
188 135 91
188 135 91
188 135 91
189 136 92
186 133 89
185 132 88
186 133 89
186 133 89
186 133 89
184 131 87
184 132 85
184 132 85
185 133 86
186 134 87
186 134 87
183 131 84
183 131 84
186 134 87
188 136 89
189 137 90
187 136 89
186 135 88
185 134 87
188 137 90
189 138 91
189 138 91
189 138 91
190 139 92
191 140 93
192 141 94
193 142 95
193 142 95
192 141 94
191 140 93
191 140 93
193 142 95
193 142 95
194 143 96
194 143 96
194 143 96
194 143 96
194 143 96
194 143 96
194 143 96
194 143 96
190 139 92
189 138 91
191 140 93
193 142 95
192 142 93
193 141 94
192 139 95
191 139 91
195 143 93
194 142 92
194 142 94
193 142 89
193 141 91
192 140 90
193 141 91
193 141 91
192 140 90
194 142 92
191 139 89
191 139 89
188 136 86
187 135 85
188 136 86
185 133 83
184 132 82
186 133 83
188 135 85
188 136 86
190 138 88
189 137 87
186 134 84
189 137 87
188 136 86
190 137 87
189 136 86
188 135 85
191 138 88
192 139 89
192 139 89
192 139 89
192 140 90
192 140 90
192 140 90
191 139 89
193 141 91
195 143 95
196 144 94
197 145 95
