500 392
81 90 73
75 84 67
75 86 70
77 91 74
67 85 69
54 79 60
58 82 66
61 88 71
55 83 68
59 87 72
57 83 70
59 83 70
70 91 82
77 97 88
68 85 79
70 87 81
70 86 83
54 73 71
44 62 64
39 60 63
41 69 73
53 82 86
64 95 100
47 78 83
58 92 94
55 89 90
50 81 83
56 88 85
49 78 73
46 76 66
62 90 78
66 94 79
60 88 73
54 83 65
49 78 60
48 77 59
50 79 61
52 81 63
60 89 71
53 82 64
39 68 50
64 93 75
94 123 105
89 118 100
70 99 81
69 96 81
61 81 70
64 80 70
75 87 75
81 89 74
81 85 70
79 83 66
80 84 69
77 85 70
62 74 64
87 100 91
78 93 88
65 78 71
66 78 66
64 75 59
65 78 61
69 88 69
62 91 73
62 96 79
63 100 82
63 100 82
60 97 79
53 90 72
49 86 68
44 81 63
46 83 65
53 90 72
56 94 73
54 92 71
52 89 71
54 92 71
59 94 74
51 86 62
63 95 71
55 88 61
60 93 66
57 90 63
54 87 60
70 103 76
65 98 71
62 95 68
66 99 72
70 103 76
70 103 76
67 100 73
61 93 69
54 88 61
54 93 62
51 95 60
43 87 54
49 94 63
53 99 71
46 91 68
39 87 65
48 95 75
28 77 56
25 74 52
30 83 55
35 89 57
38 94 59
41 97 60
42 98 59
45 99 63
51 101 74
53 101 77
54 97 77
47 90 70
44 83 62
48 86 65
63 98 76
57 90 69
44 79 55
50 89 62
48 88 61
38 83 50
27 77 42
22 74 38
19 72 42
18 71 45
8 61 41
19 72 54
31 84 64
25 78 58
26 79 61
32 85 67
21 74 56
8 61 43
41 94 76
44 97 79
32 85 67
34 87 69
28 81 63
22 77 58
30 85 66
32 89 70
29 86 67
31 86 67
33 86 68
37 88 71
45 92 76
52 99 83
46 90 75
38 85 69
39 87 71
37 90 72
38 91 73
37 94 75
39 97 75
40 98 74
48 102 78
43 96 70
40 90 65
41 91 66
48 97 75
52 101 79
51 98 78
49 96 76
51 95 80
48 92 77
58 102 89
48 92 79
34 76 66
45 87 77
50 93 83
57 100 90
73 119 108
64 110 99
46 88 78
43 83 74
47 82 75
50 83 76
72 103 97
74 105 99
72 103 97
72 105 98
64 101 93
51 93 83
47 89 79
47 90 80
52 96 83
61 103 91
52 93 79
61 99 86
62 99 91
56 93 85
70 105 99
77 112 106
60 97 90
48 88 80
56 95 92
55 96 92
49 91 87
42 87 82
42 87 84
48 94 91
45 89 90
46 90 91
51 95 96
54 98 97
51 95 94
51 96 91
54 99 94
60 106 96
41 87 74
51 98 82
62 109 91
64 111 91
57 104 84
54 102 80
58 103 82
58 103 83
58 100 88
71 113 103
69 109 101
56 96 88
57 97 88
65 105 96
68 108 100
52 92 84
52 92 84
68 108 100
68 108 100
66 106 98
69 109 101
63 103 95
52 87 81
41 76 69
62 97 90
71 109 96
50 95 75
45 93 71
62 112 87
67 115 93
61 104 87
64 102 91
64 96 91
53 83 81
39 71 66
30 68 57
39 82 65
58 107 85
56 110 86
48 104 79
53 107 83
53 107 83
53 102 80
52 101 79
60 108 86
69 117 95
72 117 94
79 124 101
72 115 95
63 106 86
73 115 95
72 114 94
69 108 89
80 117 100
85 117 106
97 124 117
108 134 125
110 133 125
106 126 117
100 120 111
100 122 110
101 123 111
99 123 109
99 126 111
98 129 111
99 134 114
96 134 113
88 130 106
83 125 101
83 127 100
89 129 103
90 130 104
89 132 105
91 134 107
97 135 110
99 137 112
104 139 115
92 127 103
102 134 111
110 142 119
110 139 117
114 143 121
119 147 125
107 136 116
92 123 107
91 125 109
98 131 120
101 137 125
97 133 121
89 125 113
81 117 105
74 110 98
91 127 115
106 142 130
97 133 121
92 128 116
89 125 113
90 126 114
92 128 116
95 131 117
97 133 119
100 137 120
103 137 121
102 136 120
100 134 118
102 136 120
111 145 129
115 149 133
101 135 119
108 142 126
116 150 134
122 156 140
122 156 140
119 153 137
113 147 131
113 147 131
119 152 141
126 159 148
135 167 156
135 167 156
129 162 151
120 153 142
110 142 131
136 168 157
138 171 160
117 150 139
101 133 122
91 123 112
92 125 114
100 133 122
106 142 130
101 139 126
103 141 128
103 144 130
103 144 130
98 139 125
91 132 118
83 124 110
78 119 105
77 118 104
81 122 108
96 137 123
116 157 143
128 169 155
117 160 143
94 137 120
96 140 123
105 149 132
100 147 127
91 138 118
80 127 107
81 128 108
99 146 126
119 166 146
119 166 146
115 162 142
111 158 138
107 154 134
103 150 130
100 147 127
101 146 126
102 145 126
97 138 120
92 129 112
101 135 119
103 134 119
100 128 114
122 146 133
138 160 148
120 142 130
112 134 122
128 154 141
130 158 144
114 146 131
102 136 120
107 144 127
127 165 150
102 138 124
82 115 104
90 120 108
104 126 114
96 114 100
103 115 103
117 128 114
87 96 79
77 86 69
73 84 68
78 92 75
70 88 72
59 82 64
58 82 66
59 86 69
54 82 67
59 87 72
57 83 70
57 83 70
70 91 82
76 95 89
68 85 79
65 81 78
66 82 79
57 76 74
51 71 72
45 69 71
44 72 76
47 78 81
51 82 87
56 89 94
59 93 95
46 80 82
44 75 77
58 90 87
56 87 81
49 79 69
56 86 74
61 89 75
57 85 70
50 79 61
46 75 57
46 75 57
49 78 60
50 79 61
61 90 72
59 88 70
46 75 57
68 97 79
92 121 103
86 115 97
68 97 79
66 93 78
74 95 86
81 98 88
87 101 88
86 97 81
80 87 71
72 79 61
69 76 60
66 77 61
58 71 61
80 95 88
72 89 83
58 73 66
61 74 64
59 71 57
61 74 57
64 83 64
54 83 65
55 89 72
58 95 77
62 99 81
61 98 80
58 95 77
56 93 75
46 83 65
48 85 67
55 92 74
57 95 74
54 92 71
50 87 69
51 89 68
57 92 72
47 82 58
58 92 67
50 83 56
57 90 63
52 85 58
48 81 54
66 99 72
59 92 65
55 88 61
60 93 66
65 98 71
68 101 74
67 100 73
63 95 71
58 92 65
58 97 66
51 95 62
46 90 57
49 94 65
50 96 70
41 86 63
34 81 61
40 87 67
30 79 58
28 77 56
28 81 55
31 84 54
33 88 56
36 92 55
39 95 58
42 96 62
49 99 72
48 96 74
45 90 69
39 82 62
36 78 56
44 82 61
56 91 69
59 94 72
60 95 71
61 99 74
57 97 70
46 91 60
35 85 50
32 83 50
31 84 54
23 76 50
13 66 46
20 73 55
30 83 63
26 79 59
28 81 63
36 89 71
27 80 62
15 68 50
42 95 77
45 98 80
33 86 68
34 87 69
29 82 64
23 78 59
31 86 67
33 90 71
30 87 68
32 87 68
33 86 68
37 88 71
44 91 75
47 94 78
51 95 80
46 93 77
37 85 69
28 81 63
29 82 64
33 90 71
43 101 79
52 110 86
44 98 74
41 91 66
37 87 62
39 89 64
47 95 73
51 99 77
49 96 76
53 100 82
68 112 97
41 85 70
36 82 69
35 81 68
40 83 73
55 98 88
45 91 80
43 89 78
61 107 96
56 102 91
46 89 79
50 90 81
55 90 83
53 86 79
67 98 92
61 92 86
60 91 85
63 96 89
60 97 89
53 95 85
47 90 80
43 86 76
44 88 75
63 105 93
54 95 81
63 101 88
61 99 88
55 92 84
62 97 90
65 102 94
53 90 83
42 82 74
46 87 81
48 89 83
48 91 84
48 91 84
49 94 89
53 99 96
42 86 85
40 84 85
49 93 94
53 97 96
52 97 94
52 97 92
56 101 94
61 107 97
45 91 78
51 98 82
58 105 89
