246 500
214 186 147
208 181 134
146 119 76
133 106 63
167 149 109
218 204 178
210 195 174
148 132 107
108 93 70
104 89 70
119 102 82
107 97 72
118 117 96
162 163 132
180 168 130
195 174 131
223 198 157
223 199 151
221 199 149
233 216 170
201 187 152
150 129 108
177 162 129
134 130 101
83 83 57
174 167 125
220 197 143
210 187 137
170 157 115
106 104 92
87 85 70
86 88 64
173 161 119
216 191 137
211 187 139
209 182 135
195 168 121
185 162 120
190 171 128
159 144 103
134 115 82
191 167 133
215 192 151
154 134 99
119 95 61
204 177 132
227 208 166
221 200 155
180 158 119
202 184 148
221 200 155
196 183 131
161 156 116
129 124 105
181 161 137
224 206 156
192 177 148
109 92 84
173 160 126
230 215 174
206 189 143
169 150 110
134 121 87
106 101 72
100 92 69
117 105 81
126 114 98
118 106 92
120 108 82
107 102 82
67 76 57
106 100 78
113 104 97
83 91 67
99 95 70
191 166 135
181 162 130
148 137 105
151 134 114
140 120 85
149 126 85
154 138 102
161 146 115
193 183 158
122 120 107
104 97 79
190 173 145
189 175 140
145 138 112
188 185 170
232 228 201
201 199 161
159 155 130
167 164 145
220 212 193
167 153 127
163 155 116
149 126 95
107 89 77
49 42 36
104 98 84
119 112 93
113 105 82
121 112 81
124 112 86
156 140 114
168 153 120
170 151 118
196 174 133
218 194 148
182 163 121
133 122 90
158 147 117
209 194 155
207 191 142
191 168 124
200 177 135
225 203 154
223 202 149
207 185 136
191 168 124
202 182 131
216 201 158
183 170 136
117 109 88
127 120 94
129 118 100
193 176 133
205 182 140
199 181 135
196 176 126
215 192 148
226 203 162
216 199 155
218 206 164
222 209 177
191 179 155
145 144 114
126 129 98
150 143 117
198 180 142
225 201 153
214 190 146
181 160 115
136 120 86
138 125 106
141 137 102
131 117 91
122 106 90
60 46 45
41 35 39
91 89 77
149 145 110
129 118 88
118 103 82
131 121 86
144 130 95
148 129 99
144 135 96
110 121 89
82 94 84
115 117 104
88 88 78
30 31 35
31 32 26
43 44 26
83 71 57
118 106 84
135 124 92
151 136 105
162 149 114
162 144 106
166 149 106
156 137 95
169 151 111
129 113 88
131 116 93
157 141 118
152 136 103
141 125 99
196 175 144
202 181 138
191 168 126
183 163 126
163 146 118
169 154 123
189 174 135
213 196 153
222 200 150
218 196 138
167 148 116
89 75 72
149 137 111
224 202 145
206 184 135
194 180 143
142 126 103
138 120 100
177 164 122
159 143 107
162 145 127
221 207 181
220 209 177
181 174 132
169 157 117
188 174 127
186 174 134
202 175 132
214 188 137
134 135 104
97 100 89
168 160 124
218 200 150
227 200 155
221 197 151
182 163 123
167 140 97
142 123 90
39 40 42
54 50 41
160 143 117
208 186 162
231 217 182
226 213 179
215 204 182
141 138 121
96 99 82
133 136 119
73 71 58
76 68 65
188 181 153
234 221 189
209 195 160
189 175 128
206 188 150
198 176 139
187 164 122
196 174 135
208 190 150
219 199 162
215 198 155
218 201 158
214 192 155
182 159 128
161 140 109
135 122 87
98 87 59
151 132 90
212 189 137
202 174 134
196 173 129
173 150 118
198 176 135
204 184 134
203 180 138
210 190 157
190 173 147
204 189 150
166 151 112
188 171 128
220 202 152
217 197 160
209 196 161
155 146 117
98 78 67
149 129 102
168 155 113
58 50 37
41 39 40
56 47 38
166 151 112
226 196 146
211 193 145
169 154 121
175 158 138
186 170 145
98 91 75
61 69 71
52 68 58
49 60 54
54 65 61
49 53 54
136 121 100
210 187 137
188 163 122
116 99 71
105 91 65
182 167 138
223 204 172
212 192 159
232 215 187
239 224 201
237 221 188
222 204 158
203 180 136
201 172 138
205 182 138
159 148 120
84 104 95
115 127 115
138 132 108
77 90 73
76 86 77
123 113 86
141 118 74
132 109 67
118 88 54
160 128 89
151 128 84
84 73 55
49 41 38
63 54 49
109 91 77
154 133 106
190 165 125
217 186 142
210 181 139
198 173 132
192 170 131
174 148 113
213 184 152
197 181 147
206 184 143
172 158 121
108 96 84
155 141 115
148 144 106
96 95 74
103 93 84
85 73 59
162 147 108
220 199 152
211 190 145
183 162 119
198 174 128
189 165 117
176 157 114
202 183 140
217 194 150
206 183 141
211 188 147
192 176 142
159 146 111
141 129 105
78 68 58
115 109 87
194 174 147
218 190 140
146 137 108
134 125 94
209 191 141
222 201 158
193 168 127
195 176 133
179 163 127
159 150 107
207 192 149
193 171 121
183 165 119
208 189 146
222 199 145
205 184 137
177 159 123
189 166 124
178 156 117
160 152 129
193 189 164
185 169 133
204 180 142
209 184 144
192 165 118
188 164 130
181 159 122
185 166 126
165 142 100
138 115 73
198 177 134
218 193 152
201 180 137
160 140 103
155 137 99
159 143 118
199 184 165
174 156 134
157 131 104
180 160 125
163 148 119
121 112 95
113 103 91
104 95 88
111 106 102
135 136 131
118 123 119
94 99 93
59 59 51
63 59 50
115 108 92
142 124 104
177 155 116
206 190 141
196 177 135
177 149 109
204 173 127
181 162 122
199 181 131
196 164 123
169 141 102
103 98 78
81 92 76
108 111 92
127 118 85
121 108 89
158 138 114
215 188 141
195 176 133
125 119 97
119 116 101
161 157 130
115 119 104
96 100 86
171 163 144
197 191 177
180 178 155
137 130 101
178 169 140
185 171 142
179 166 131
145 137 100
131 126 96
126 124 99
142 141 110
139 133 109
143 128 99
187 165 118
217 194 144
168 148 113
116 102 76
151 138 94
200 178 129
200 177 135
191 170 123
198 174 126
229 206 156
216 202 163
231 222 193
226 220 184
199 184 151
228 212 176
205 187 149
158 138 103
145 129 96
169 152 124
157 146 116
162 153 122
151 136 113
173 160 141
216 209 193
192 188 177
148 145 136
122 118 106
137 131 115
89 86 67
61 60 39
106 100 76
125 108 90
126 107 92
133 115 101
158 138 111
234 214 164
162 147 108
85 73 61
189 171 133
193 171 124
200 179 124
199 187 135
115 101 66
189 165 129
204 176 129
209 187 137
136 124 84
128 117 89
180 156 112
124 106 86
96 88 77
170 146 108
217 194 142
214 196 148
225 198 151
230 202 154
214 193 138
205 186 127
205 183 134
214 191 139
218 195 141
175 154 111
164 145 105
215 194 147
215 195 144
228 197 140
206 183 139
192 169 137
216 193 151
160 135 94
126 100 65
151 127 91
146 129 103
166 149 129
193 173 149
142 126 103
103 86 66
120 104 81
142 133 104
144 139 120
151 148 129
184 176 139
212 195 151
209 187 148
188 169 137
152 138 111
127 112 93
159 143 128
131 116 95
180 164 131
172 157 124
149 134 103
197 175 136
179 164 123
97 86 68
50 52 49
41 42 44
41 38 33
80 69 51
166 140 107
222 193 149
227 203 159
213 192 149
207 185 138
214 191 147
213 192 149
179 162 116
171 152 112
206 182 148
187 163 125
139 120 78
117 94 53
147 119 79
193 170 126
217 199 153
208 192 143
214 196 148
218 200 154
199 182 130
208 191 145
192 179 135
182 158 120
207 184 140
194 171 127
122 101 80
170 154 118
209 195 148
211 191 141
227 197 147
218 189 145
179 155 117
150 130 93
147 128 96
137 120 90
128 112 86
141 122 90
133 113 86
118 116 95
107 104 87
86 79 71
87 90 73
113 112 92
170 150 117
158 144 118
103 109 81
143 136 107
138 130 94
166 149 106
180 158 117
176 153 112
147 131 105
72 71 66
46 43 38
131 116 97
149 134 115
111 103 90
142 144 123
206 205 184
232 224 213
203 194 185
217 208 201
213 200 181
160 146 107
146 140 108
150 129 98
115 99 74
92 85 59
131 117 90
136 120 95
118 111 93
116 109 83
124 113 91
144 133 105
144 129 96
173 154 114
212 195 143
175 162 120
95 82 63
90 74 59
165 151 122
209 190 147
183 160 116
169 146 105
186 163 122
196 173 129
216 196 145
222 202 152
212 185 142
192 170 123
170 153 110
135 123 97
119 114 95
190 188 163
166 159 141
200 186 151
179 156 122
172 150 109
201 180 137
204 182 135
211 193 143
193 178 135
181 168 133
191 182 153
213 200 181
164 161 144
90 88 76
124 115 98
210 195 156
215 193 146
191 167 129
176 156 119
127 111 86
92 79 71
85 88 71
85 86 70
69 69 57
39 41 27
111 105 81
184 167 124
204 182 132
191 172 132
182 156 123
195 172 130
195 174 131
180 154 127
174 151 117
177 162 119
140 136 107
81 92 88
49 62 70
36 43 36
26 27 19
63 63 51
140 131 102
126 115 93
112 96 81
171 156 123
131 122 91
116 110 76
152 138 99
130 117 101
116 102 89
130 112 90
175 162 118
178 164 127
169 149 112
168 152 118
155 132 98
176 152 116
193 169 133
167 150 120
135 123 97
127 116 88
158 144 115
204 182 145
218 194 146
204 187 131
134 124 88
70 64 52
145 136 103
202 184 138
204 187 141
170 157 115
156 142 105
141 133 97
66 62 53
44 45 39
99 97 84
195 189 175
205 193 169
179 164 135
134 132 109
148 137 109
138 133 111
139 128 108
137 131 109
85 91 79
124 118 104
199 175 139
207 184 134
187 168 126
171 154 108
154 135 95
139 119 92
92 91 73
21 33 33
42 41 37
64 62 50
146 131 110
234 216 178
208 190 152
205 190 169
84 81 66
45 44 39
56 53 48
88 87 69
80 72 61
167 160 141
200 194 170
198 189 156
186 172 133
199 177 140
211 189 152
216 195 152
212 193 150
220 202 164
227 213 174
214 199 160
197 175 138
189 166 134
194 175 145
176 157 124
127 111 77
108 96 82
177 160 132
201 178 136
200 170 136
194 170 134
173 152 131
191 170 139
178 158 121
208 192 156
212 193 160
154 137 117
185 171 136
210 191 149
220 201 158
200 186 141
155 136 106
170 159 131
178 169 136
165 149 116
204 184 147
170 156 129
76 76 66
50 52 38
105 96 65
197 174 130
175 164 119
120 119 98
112 111 91
113 107 81
103 104 96
68 75 68
121 125 98
89 91 70
40 45 49
90 100 91
82 83 65
75 61 48
151 129 90
168 141 94
148 124 86
132 111 80
130 111 81
162 140 103
188 160 121
195 173 134
206 193 161
212 200 174
190 171 141
138 116 79
146 127 85
155 136 94
120 106 79
59 75 65
122 121 100
144 131 96
76 84 63
93 88 69
106 90 65
145 128 84
140 117 83
104 83 56
138 114 76
132 115 72
84 73 55
53 45 42
61 55 43
69 57 45
105 88 70
160 137 103
152 126 89
157 134 103
207 186 155
190 175 136
152 130 91
165 139 104
188 173 134
216 194 171
135 114 95
153 139 112
145 137 118
129 123 101
155 142 110
208 189 149
162 148 111
85 74 56
145 133 109
198 179 137
203 180 138
167 148 116
170 157 122
213 199 162
224 207 177
168 149 117
150 131 91
198 182 133
163 148 109
133 115 93
183 166 136
112 106 84
53 56 49
108 102 80
215 200 159
195 176 144
164 145 113
184 164 131
190 166 138
196 175 132
220 201 158
226 211 168
189 174 135
176 157 124
195 176 133
210 194 143
193 177 141
150 134 101
151 137 100
195 177 137
216 193 149
169 150 108
121 107 78
172 165 136
238 224 195
199 177 153
149 123 98
154 132 93
190 174 148
185 168 140
157 137 104
171 149 110
168 147 104
208 189 147
211 193 153
188 170 132
165 148 118
189 173 140
204 189 168
205 194 176
187 175 149
168 147 118
175 151 117
162 145 115
153 137 112
151 136 115
165 154 136
210 203 184
230 225 206
215 213 201
197 195 182
162 160 145
100 94 80
96 89 73
111 98 81
148 131 103
169 150 110
199 180 137
200 175 134
206 183 141
205 187 141
209 180 140
157 139 103
96 87 54
114 102 78
145 134 106
94 92 71
78 79 61
100 93 75
107 96 78
120 110 85
145 131 92
138 124 89
95 89 73
97 97 89
167 161 147
123 122 104
72 83 77
127 124 107
153 152 124
144 140 103
181 171 136
208 192 158
183 164 131
136 125 95
119 114 92
122 120 99
166 162 133
176 168 147
144 132 108
180 167 125
196 183 139
134 118 93
113 98 75
145 132 90
152 134 94
151 134 104
184 162 123
208 186 139
217 199 149
206 191 150
173 163 138
168 166 143
176 162 135
169 152 122
191 175 139
194 176 140
152 137 106
198 182 157
193 186 160
133 127 103
105 97 78
78 75 60
83 83 75
67 67 59
117 114 105
168 170 159
138 138 126
75 72 55
111 101 76
154 141 107
140 132 96
147 141 107
138 128 101
170 153 127
238 218 181
216 199 153
211 197 152
207 188 145
192 165 118
217 197 138
214 202 142
193 180 128
223 196 149
216 186 148
129 113 87
127 121 85
126 111 88
183 157 120
171 155 119
110 98 86
168 144 118
218 194 148
214 191 147
220 192 152
226 199 154
225 199 148
220 200 141
202 182 131
167 147 112
175 155 118
199 178 135
204 182 141
173 154 114
187 168 125
230 200 150
184 163 134
149 129 104
198 179 137
157 133 95
132 107 76
131 98 63
141 116 85
130 109 78
152 136 100
167 154 122
136 126 101
115 104 82
130 125 105
139 129 117
145 129 113
176 165 137
188 171 141
151 132 102
134 124 97
85 87 66
58 58 48
126 123 116
103 105 94
143 136 107
193 168 137
202 172 138
182 163 121
137 134 103
51 50 45
33 31 34
31 31 29
60 59 39
142 122 85
179 159 109
212 198 151
216 194 145
216 193 149
211 188 146
208 190 142
193 171 130
167 142 111
189 166 125
202 186 137
186 167 125
146 122 84
138 116 67
182 162 112
217 192 151
208 193 152
207 186 139
220 196 148
224 204 171
166 138 114
188 160 123
210 192 146
191 171 134
197 183 134
172 159 125
165 152 118
171 155 119
203 182 135
216 194 147
199 180 140
212 185 138
222 196 147
179 157 118
113 101 79
71 69 57
77 70 52
130 119 99
133 129 102
150 136 101
132 120 94
114 105 88
116 106 71
107 106 78
108 110 88
113 105 92
100 99 79
101 100 82
94 91 72
87 81 65
147 126 99
169 143 108
141 120 89
103 91 77
104 101 96
144 141 122
131 119 103
138 128 119
159 163 140
131 135 108
158 150 129
166 151 132
163 150 118
173 157 123
171 152 119
167 151 117
135 114 83
142 122 95
165 150 119
213 189 143
193 163 125
143 126 98
128 117 99
123 116 97
138 127 97
169 149 122
162 138 114
171 157 120
138 132 98
101 94 75
136 125 95
200 183 139
221 199 158
194 171 129
162 136 103
143 117 84
142 119 77
180 158 108
218 194 146
205 181 137
206 179 134
170 151 111
147 134 115
183 177 165
232 229 210
218 211 201
158 147 115
142 125 95
189 168 123
193 172 129
191 168 126
198 179 137
151 137 108
125 114 94
130 123 97
197 189 166
203 196 180
101 98 91
98 91 83
169 163 137
149 139 112
127 114 95
168 155 121
160 146 107
100 85 62
57 47 48
46 42 39
50 49 44
102 97 75
125 114 82
125 110 89
167 150 130
189 172 129
129 121 84
167 147 114
211 184 141
208 187 140
160 144 108
150 127 96
180 158 119
177 164 120
106 107 91
48 58 60
27 35 37
51 50 48
142 126 93
141 125 92
83 75 62
128 117 87
169 159 110
132 118 92
129 119 83
155 141 102
146 133 91
94 82 68
91 77 64
109 94 75
179 167 129
207 189 149
182 160 123
167 143 109
174 155 125
137 125 99
112 108 81
123 117 93
139 127 105
159 143 120
161 147 120
112 103 86
64 59 56
95 93 78
140 133 104
143 124 94
180 156 122
182 156 121
106 100 78
47 43 34
28 29 23
30 32 31
49 49 51
83 79 68
125 115 90
149 135 108
118 119 101
136 120 97
138 129 98
107 101 75
53 52 48
62 67 61
142 133 102
175 153 114
156 137 104
139 122 94
125 114 86
121 114 88
124 108 92
102 94 75
62 56 44
70 57 40
132 126 100
117 112 82
167 144 113
180 154 119
154 137 109
93 85 72
105 100 94
116 109 99
145 138 128
125 118 99
75 71 59
116 113 96
188 183 151
229 214 183
229 205 177
219 195 157
214 198 149
215 196 153
220 202 166
221 209 171
205 189 156
180 160 127
189 168 137
207 190 160
193 177 144
140 123 95
104 95 80
185 170 139
215 193 156
210 186 140
212 192 142
210 196 151
208 192 166
219 202 172
216 209 180
213 199 160
180 163 133
199 186 141
225 204 159
233 209 171
226 212 173
181 170 140
159 142 112
153 137 112
131 123 102
136 132 105
152 141 119
149 138 118
138 131 105
172 160 120
178 161 131
120 119 99
120 118 97
132 123 118
119 108 86
100 99 78
57 68 70
89 100 86
114 101 85
81 74 64
142 137 118
126 119 93
127 116 84
132 117 86
180 157 116
157 128 98
129 108 87
172 156 123
207 183 145
202 172 134
198 173 133
212 192 155
201 186 153
199 185 156
159 144 115
131 116 87
160 142 104
164 141 107
119 117 92
190 167 133
209 187 146
125 124 94
137 110 80
153 128 98
164 146 110
93 76 60
59 46 40
55 48 40
65 61 49
69 60 45
91 77 64
104 93 73
92 82 55
128 113 80
171 150 103
147 124 82
166 142 114
218 203 172
216 203 161
196 177 134
187 163 125
199 169 135
183 164 122
145 131 96
153 140 106
118 109 94
152 137 114
182 161 132
164 146 110
183 157 124
115 104 82
43 39 36
90 81 64
124 108 85
54 47 41
90 88 67
213 194 161
214 194 161
144 129 100
137 117 92
157 139 103
167 152 111
167 154 120
134 123 103
100 97 78
80 81 73
62 65 56
136 130 104
186 164 125
158 144 107
102 94 75
118 100 86
157 146 114
222 207 176
215 197 161
201 177 139
167 147 112
146 131 100
165 151 116
162 148 121
168 160 137
170 159 137
160 143 113
172 150 113
164 145 112
131 112 82
147 132 109
207 195 171
187 165 141
152 128 102
208 198 171
217 208 193
203 188 169
205 188 160
212 192 159
209 186 152
207 189 153
222 207 174
178 165 133
145 132 116
169 155 120
205 185 161
177 165 143
167 161 125
140 125 94
129 105 79
160 135 104
153 139 102
135 120 89
155 141 112
196 183 151
221 210 192
223 213 211
220 211 204
227 220 202
174 162 146
96 86 61
168 156 132
208 196 174
193 177 152
