500 306
147 144 63
111 100 18
121 97 9
123 93 3
124 94 4
134 108 15
136 105 14
134 104 8
141 108 13
132 103 3
130 102 0
134 111 7
129 108 15
132 115 33
115 96 27
95 80 15
93 78 13
83 69 6
99 85 24
80 69 7
88 77 15
89 78 22
116 102 67
126 112 77
127 116 62
127 115 55
142 126 75
158 142 90
143 131 73
145 134 68
103 85 13
108 89 12
103 86 6
85 69 0
88 74 11
83 70 15
71 53 3
87 71 22
88 74 25
77 58 0
116 85 3
156 120 26
142 104 5
143 104 1
148 107 2
146 103 0
145 101 0
151 107 0
150 108 0
153 112 4
144 106 0
135 100 0
136 107 3
148 120 20
131 102 8
119 88 0
126 93 0
131 97 0
130 96 0
130 96 0
134 101 0
140 107 4
137 102 2
130 94 0
143 108 8
136 101 0
140 105 3
137 103 0
141 108 1
145 113 4
138 103 0
130 96 0
142 108 0
151 118 5
144 112 3
134 100 0
153 111 9
152 108 9
141 95 1
137 91 0
145 99 1
153 108 5
153 109 4
158 114 5
154 112 2
151 109 0
148 105 0
154 111 0
151 109 0
146 104 0
152 108 0
153 109 0
151 109 0
150 108 0
149 105 0
146 102 0
148 106 0
151 109 1
147 104 0
143 100 0
145 102 0
140 97 0
136 94 0
142 100 0
132 90 0
143 101 3
145 99 1
140 96 0
130 91 0
126 94 11
94 74 5
75 60 3
67 53 6
61 49 9
49 38 8
55 51 13
95 100 42
150 160 97
141 147 101
127 134 93
128 134 96
136 144 105
139 149 114
152 163 129
147 158 126
149 162 132
150 163 133
146 160 127
142 156 123
123 137 102
129 143 108
135 149 114
132 146 110
137 151 115
135 149 114
138 152 117
130 144 108
133 147 111
142 156 121
135 149 114
132 146 111
135 149 114
130 144 109
114 128 93
118 132 96
108 123 84
116 131 92
131 146 103
134 149 106
123 139 94
131 147 100
130 143 97
122 134 86
148 157 112
135 144 101
133 141 100
134 142 103
147 155 116
140 148 111
138 146 107
133 141 102
138 146 105
138 146 107
137 145 106
140 148 109
143 151 114
141 150 121
142 151 124
142 153 123
135 146 116
136 149 121
141 154 124
147 162 129
137 153 117
128 142 107
131 145 112
139 152 122
137 150 122
147 160 134
148 161 133
152 165 137
147 160 130
135 148 120
145 158 130
150 163 133
141 154 126
139 152 126
142 154 130
155 167 145
151 163 143
151 162 145
150 161 145
157 168 151
150 162 142
148 160 138
149 161 137
145 158 132
148 161 135
152 164 140
149 161 137
146 160 135
145 159 134
148 160 138
149 161 139
148 159 142
151 162 145
157 168 152
152 163 147
150 161 144
148 159 142
147 158 141
147 158 141
144 156 136
154 166 146
149 160 143
147 158 141
154 165 149
152 163 149
153 163 152
157 167 158
153 163 152
156 167 153
158 170 150
148 160 138
148 160 138
150 162 140
147 158 141
150 161 144
155 168 151
153 166 149
158 171 154
142 155 138
143 156 139
158 170 156
163 175 163
154 166 156
158 170 160
162 173 165
163 174 168
162 173 169
161 171 170
154 165 159
147 159 145
158 171 153
154 167 147
147 160 140
155 168 150
159 172 154
159 172 152
141 155 132
144 158 133
129 144 115
134 149 118
148 163 132
143 159 132
147 163 136
161 174 144
154 168 135
178 192 159
147 161 128
135 148 118
136 150 117
134 148 112
122 136 100
137 147 113
127 134 100
97 103 59
76 79 32
86 84 43
95 88 42
104 89 32
149 126 59
160 126 54
154 119 38
139 108 25
164 134 46
168 134 44
165 130 40
160 124 38
146 111 29
135 102 21
137 106 26
123 94 14
135 104 22
189 152 72
165 127 46
167 129 48
173 134 55
179 140 63
168 129 52
177 140 62
172 135 55
181 143 68
182 144 71
166 127 58
172 133 66
140 101 36
144 105 38
139 101 28
156 117 40
173 131 55
170 129 50
168 129 50
182 150 73
164 142 69
191 174 104
165 159 75
111 97 9
132 106 13
139 104 10
135 102 5
128 95 0
143 109 11
139 104 4
135 100 0
144 109 7
146 113 6
137 110 5
128 105 11
108 87 6
96 79 10
91 77 14
92 81 19
92 81 19
87 75 15
94 80 17
121 108 38
134 119 52
149 129 78
145 125 72
138 121 52
133 115 41
149 128 61
158 137 70
135 117 45
167 148 72
158 135 55
140 118 33
129 109 22
109 92 12
84 70 5
82 71 17
79 67 19
61 50 4
68 57 12
83 68 11
110 81 1
154 118 24
164 125 24
161 120 14
165 123 15
167 123 14
168 121 13
167 121 10
167 121 9
165 122 10
160 120 9
154 118 8
152 119 12
144 112 9
144 112 13
147 113 15
148 113 13
147 112 10
153 116 12
149 115 8
153 116 9
156 119 12
157 120 14
161 124 20
159 120 15
155 117 10
155 117 10
154 118 8
161 125 13
152 116 4
155 117 8
164 126 17
163 126 12
163 127 13
159 123 9
163 125 14
157 115 7
160 116 11
165 120 17
161 116 13
161 117 12
159 115 6
161 117 8
161 118 5
162 119 6
159 116 1
170 127 12
166 123 8
169 126 11
163 120 5
164 121 8
159 116 3
165 122 9
167 124 11
165 122 10
153 110 0
165 122 10
163 121 9
159 117 7
159 117 9
162 120 12
159 117 9
156 113 9
156 115 10
156 114 12
158 115 13
152 107 4
154 111 9
147 107 9
144 113 23
137 117 44
72 58 0
64 52 2
